car_names,mileages,ratings,reviews,used/certified,price_drop,price,recommend,certified
2015 Chevrolet Corvette Stingray Z51,29192.0,3.7,(3 reviews),used,277,52000.0,0,0
2020 Jeep Grand Cherokee Overland,53561.0,4.8,"(1,147 reviews)",used,2000,41998.0,1,0
2019 Audi A7 3.0T Prestige,46664.0,4.9,"(1,831 reviews)",used,2090,62750.0,1,0
2017 Ford Mustang GT Premium,21726.0,4.0,(409 reviews),used,200,29995.0,1,0
2016 Jeep Grand Cherokee Limited,66514.0,4.6,"(1,348 reviews)",used,2000,26499.0,1,0
2018 Jeep Grand Cherokee High Altitude,52607.0,3.3,(329 reviews),used,2074,39944.0,0,0
2016 Ford Fusion SE,45046.0,4.3,(73 reviews),ford certified,2250,14756.0,1,0
2021 Ford F-150 Raptor,43502.0,3.5,(193 reviews),used,890,123500.0,0,0
2019 GMC Yukon Denali,5386.0,4.7,(267 reviews),used,5000,61974.0,1,0
2022 Kia Telluride SX,62129.0,4.8,"(1,305 reviews)",used,110,54500.0,0,0
2018 Jeep Wrangler Unlimited Sport,10100.0,4.6,(317 reviews),jeep certified,2000,36277.0,1,0
2015 Toyota 4Runner Limited,68884.0,4.4,(580 reviews),used,3200,33050.0,1,0
2020 Toyota Camry SE,57311.0,5.0,(3 reviews),used,738,33677.0,1,0
2016 INFINITI Q50 3.0T Red Sport 400,21713.0,4.7,"(1,338 reviews)",used,1489,28900.0,1,0
2017 Ford F-150 Raptor,74765.0,5.0,(1 review),used,340,56999.0,0,0
2013 Lexus GS 350 Base,66000.0,4.7,(659 reviews),used,670,16990.0,1,0
2021 Mitsubishi Mirage ES,48605.0,3.3,(239 reviews),used,499,15165.0,0,0
2022 Subaru Outback Touring,19844.0,4.6,"(2,411 reviews)",used,400,39747.0,0,0
2017 Lexus ES 350 Base,28271.0,3.7,(3 reviews),used,240,29500.0,0,0
2021 Toyota Land Cruiser Heritage Edition,56748.0,4.1,(57 reviews),used,500,97900.0,0,0
2017 BMW M3 Base,11194.0,4.7,(743 reviews),used,284,53789.0,0,0
2011 Toyota Avalon Limited,19847.0,4.6,(33 reviews),used,1896,8999.0,1,0
2020 Ford Mustang EcoBoost Premium,178400.0,4.7,(738 reviews),used,2469,30223.0,1,0
2019 Acura ILX Technology & A-Spec,45111.0,4.7,"(2,792 reviews)",used,620,24995.0,1,0
2019 Subaru Outback 3.6R Touring,41045.0,4.4,(39 reviews),used,248,32900.0,1,0
2018 Nissan Frontier S,19181.0,4.7,"(1,338 reviews)",used,1067,29997.0,1,0
2020 Lamborghini Urus Base,21256.0,4.8,"(1,666 reviews)",used,1000,280000.0,1,0
2014 Nissan Leaf SL,6105.0,3.7,(3 reviews),used,887,15990.0,1,0
2017 Nissan Rogue SV,59878.0,3.7,(3 reviews),used,1503,24688.0,1,0
